# eigendata as a function of alpha m=0
# node, \tilde{\sigma}, \alpha, \tilde{fpara}
2 6.5453E-04 0.99 0.08067990189561706
2 1.3170E-03 0.98 0.08067990189561706
2 3.3542E-03 0.95 0.08067990189561706
2 6.9265E-03 0.9 0.08067990189561706
2 1.4839E-02 0.8 0.08067990189561706
2 2.4026E-02 0.7 0.08067990189561706
2 3.4915E-02 0.6 0.08067990189561706
2 4.8183E-02 0.5 0.08067990189561706
2 6.4989E-02 0.4 0.08067990189561706
2 8.7557E-02 0.3 0.08067990189561706
2 1.2103E-01 0.2 0.08067990189561706
2 1.8239E-01 0.1 0.08067990189561706
